iter	Passed	Remaining
0	151	151624
1	152	76112
2	153	50904
3	153	38298
4	154	30740
5	155	25696
6	155	22094
7	156	19398
8	157	17297
9	157	15611
10	158	14230
11	158	13079
12	159	12102
13	160	11268
14	160	10545
15	161	9910
16	161	9351
17	162	8853
18	162	8407
19	163	8006
20	163	7643
21	164	7313
22	165	7012
23	165	6734
24	166	6481
25	166	6245
26	167	6029
27	167	5827
28	168	5638
29	168	5461
30	169	5296
31	170	5142
32	170	4997
33	171	4861
34	171	4732
35	172	4612
36	172	4498
37	173	4389
38	173	4286
39	174	4188
40	175	4094
41	175	4006
42	176	3921
43	176	3840
44	177	3764
45	178	3694
46	178	3622
47	179	3554
48	179	3489
49	180	3426
50	180	3366
51	181	3308
52	182	3252
53	182	3199
54	183	3148
55	183	3098
56	184	3049
57	184	3002
58	185	2957
59	185	2913
60	186	2870
61	187	2829
62	187	2790
63	188	2752
64	188	2715
65	189	2678
66	189	2642
67	190	2605
68	190	2571
69	191	2539
70	191	2508
71	192	2477
72	192	2447
73	193	2418
74	193	2390
75	194	2363
76	194	2336
77	195	2310
78	195	2284
79	196	2259
80	197	2235
81	197	2211
82	198	2188
83	198	2166
84	199	2143
85	199	2121
86	200	2099
87	200	2078
88	201	2058
89	201	2038
90	202	2019
91	202	2000
92	203	1982
93	203	1964
94	204	1947
95	204	1929
96	205	1913
97	206	1896
98	206	1879
99	207	1863
100	207	1848
101	207	1830
102	208	1815
103	209	1801
104	209	1786
105	210	1772
106	210	1758
107	211	1745
108	211	1732
109	212	1720
110	213	1707
111	213	1696
112	214	1685
113	215	1674
114	216	1662
115	216	1651
116	217	1639
117	217	1628
118	218	1616
119	218	1605
120	219	1594
121	220	1584
122	220	1572
123	221	1562
124	221	1552
125	222	1542
126	223	1532
127	223	1521
128	223	1511
129	224	1502
130	225	1492
131	225	1483
132	226	1474
133	226	1466
134	227	1457
135	228	1448
136	228	1440
137	229	1431
138	229	1422
139	230	1414
140	230	1407
141	231	1400
142	232	1393
143	233	1385
144	233	1377
145	234	1369
146	234	1362
147	235	1355
148	236	1348
149	236	1341
150	237	1334
151	237	1327
152	238	1320
153	239	1313
154	239	1306
155	240	1299
156	240	1293
157	241	1286
158	242	1280
159	242	1273
160	243	1267
161	243	1261
162	244	1254
163	245	1249
164	245	1242
165	246	1237
166	246	1231
167	247	1225
168	248	1220
169	248	1214
170	249	1208
171	249	1203
172	250	1197
173	251	1192
174	251	1186
175	252	1181
176	253	1176
177	253	1171
178	254	1166
179	254	1160
180	255	1154
181	255	1149
182	256	1144
183	256	1139
184	257	1134
185	258	1130
186	258	1125
187	259	1120
188	260	1115
189	260	1110
190	261	1106
191	261	1101
192	262	1097
193	262	1092
194	263	1088
195	264	1084
196	264	1080
197	265	1075
198	266	1071
199	266	1066
200	267	1062
201	267	1058
202	268	1054
203	269	1050
204	269	1046
205	270	1042
206	270	1037
207	271	1033
208	272	1029
209	272	1025
210	273	1021
211	273	1018
212	274	1014
213	275	1010
214	275	1006
215	276	1002
216	276	999
217	277	995
218	278	992
219	278	988
220	279	985
221	280	981
222	280	978
223	281	974
224	282	971
225	282	968
226	283	964
227	284	961
228	284	959
229	285	956
230	286	952
231	286	949
232	287	945
233	287	942
234	288	939
235	289	935
236	289	932
237	290	929
238	290	926
239	291	923
240	292	919
241	292	916
242	293	913
243	293	910
244	294	907
245	295	904
246	295	901
247	296	898
248	296	895
249	297	892
250	298	889
251	298	886
252	299	883
253	299	880
254	300	877
255	301	875
256	301	872
257	302	869
258	302	866
259	303	864
260	304	861
261	304	858
262	305	855
263	306	853
264	306	850
265	307	847
266	307	845
267	308	842
268	309	839
269	309	837
270	310	834
271	311	832
272	311	829
273	312	827
274	312	824
275	313	822
276	314	819
277	314	817
278	315	814
279	315	812
280	316	810
281	317	807
282	317	805
283	318	802
284	319	800
285	319	797
286	320	795
287	320	793
288	321	790
289	322	788
290	322	786
291	323	783
292	323	781
293	324	779
294	325	776
295	325	774
296	326	772
297	326	770
298	327	767
299	328	765
300	328	763
301	329	761
302	329	758
303	330	756
304	331	754
305	331	752
306	332	750
307	333	748
308	333	746
309	334	743
310	334	741
311	335	739
312	335	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	719
322	342	717
323	342	715
324	343	713
325	344	711
326	344	709
327	345	707
328	345	705
329	346	703
330	347	701
331	347	699
332	348	697
333	349	696
334	349	694
335	350	692
336	351	690
337	351	688
338	352	686
339	352	685
340	353	683
341	354	681
342	355	680
343	355	678
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	359	666
350	359	665
351	360	663
352	361	661
353	361	660
354	362	658
355	362	656
356	363	654
357	364	653
358	364	651
359	365	649
360	366	648
361	366	646
362	367	644
363	367	642
364	368	641
365	369	639
366	369	638
367	370	636
368	371	634
369	371	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	376	624
376	376	622
377	377	621
378	378	619
379	378	618
380	379	616
381	380	614
382	380	613
383	381	611
384	382	610
385	382	609
386	383	607
387	384	605
388	384	604
389	385	602
390	386	601
391	386	599
392	387	598
393	387	596
394	388	594
395	388	593
396	389	591
397	390	589
398	390	588
399	391	586
400	391	585
401	392	583
402	392	582
403	393	580
404	394	578
405	394	577
406	395	575
407	395	574
408	396	572
409	396	570
410	397	569
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	401	560
417	401	559
418	402	558
419	403	556
420	403	555
421	404	553
422	404	551
423	405	550
424	405	548
425	406	547
426	406	545
427	407	544
428	408	543
429	408	541
430	409	540
431	409	538
432	410	537
433	410	535
434	411	534
435	411	532
436	412	531
437	413	530
438	413	528
439	414	527
440	414	525
441	415	524
442	415	522
443	416	521
444	417	520
445	417	518
446	418	517
447	418	516
448	419	514
449	420	513
450	420	511
451	421	510
452	421	509
453	422	507
454	422	506
455	423	504
456	423	503
457	424	502
458	424	500
459	425	499
460	426	498
461	426	496
462	427	495
463	427	494
464	428	493
465	429	492
466	430	491
467	431	490
468	431	488
469	432	487
470	433	486
471	433	485
472	434	483
473	434	482
474	435	481
475	436	480
476	436	478
477	437	477
478	437	475
479	438	474
480	438	473
481	439	471
482	439	470
483	440	469
484	440	468
485	441	466
486	442	465
487	442	464
488	443	463
489	443	461
490	444	460
491	444	459
492	445	458
493	446	456
494	446	455
495	447	454
496	447	453
497	448	451
498	448	450
499	449	449
500	449	447
501	450	446
502	450	445
503	451	444
504	452	443
505	452	441
506	453	440
507	453	439
508	454	438
509	454	436
510	455	435
511	456	434
512	456	433
513	457	432
514	457	431
515	458	429
516	458	428
517	459	427
518	459	426
519	460	425
520	461	424
521	461	422
522	462	421
523	462	420
524	463	419
525	463	418
526	464	416
527	464	415
528	465	414
529	466	413
530	466	412
531	467	410
532	467	409
533	468	408
534	468	407
535	469	406
536	469	405
537	470	403
538	470	402
539	471	401
540	472	400
541	472	399
542	473	398
543	473	397
544	474	396
545	474	394
546	475	393
547	476	392
548	476	391
549	477	390
550	477	389
551	478	388
552	478	387
553	479	385
554	480	384
555	480	383
556	481	382
557	481	381
558	482	380
559	482	379
560	483	378
561	484	377
562	484	376
563	485	375
564	485	373
565	486	372
566	486	371
567	487	370
568	487	369
569	488	368
570	489	367
571	489	366
572	490	365
573	490	364
574	491	363
575	491	361
576	492	360
577	492	359
578	493	358
579	494	357
580	494	356
581	495	355
582	495	354
583	496	353
584	496	352
585	497	351
586	498	350
587	499	349
588	500	348
589	500	347
590	501	346
591	501	345
592	502	344
593	502	343
594	503	342
595	503	341
596	504	340
597	505	339
598	505	338
599	506	337
600	506	336
601	507	335
602	507	334
603	508	333
604	509	332
605	509	331
606	510	330
607	510	329
608	511	328
609	511	327
610	512	326
611	513	325
612	513	324
613	514	323
614	514	322
615	515	321
616	515	320
617	516	319
618	517	318
619	517	317
620	518	316
621	518	315
622	519	314
623	519	313
624	520	312
625	521	311
626	521	310
627	522	309
628	522	308
629	523	307
630	523	306
631	524	305
632	524	304
633	525	303
634	526	302
635	526	301
636	527	300
637	527	299
638	528	298
639	529	297
640	529	296
641	530	295
642	530	294
643	531	293
644	531	292
645	532	291
646	532	290
647	533	289
648	534	288
649	534	287
650	535	286
651	535	285
652	536	284
653	536	283
654	537	283
655	537	282
656	538	281
657	538	280
658	539	279
659	540	278
660	540	277
661	541	276
662	541	275
663	542	274
664	542	273
665	543	272
666	544	271
667	544	270
668	545	269
669	545	268
670	546	267
671	546	266
672	547	265
673	547	265
674	548	264
675	549	263
676	549	262
677	550	261
678	550	260
679	551	259
680	551	258
681	552	257
682	553	256
683	553	255
684	554	254
685	554	253
686	555	252
687	555	252
688	556	251
689	556	250
690	557	249
691	558	248
692	558	247
693	559	246
694	559	245
695	560	244
696	560	243
697	561	242
698	561	242
699	562	241
700	563	240
701	563	239
702	564	238
703	564	237
704	565	236
705	565	235
706	566	234
707	566	233
708	567	232
709	568	232
710	568	231
711	569	230
712	569	229
713	570	228
714	570	227
715	571	226
716	572	225
717	572	224
718	573	224
719	573	223
720	574	222
721	574	221
722	575	220
723	575	219
724	576	218
725	577	217
726	577	216
727	578	216
728	578	215
729	579	214
730	579	213
731	580	212
732	581	211
733	581	210
734	582	209
735	582	209
736	583	208
737	583	207
738	584	206
739	585	205
740	585	204
741	586	203
742	586	202
743	587	202
744	587	201
745	588	200
746	588	199
747	589	198
748	590	197
749	590	196
750	591	196
751	591	195
752	592	194
753	592	193
754	593	192
755	594	191
756	594	190
757	595	190
758	595	189
759	596	188
760	597	187
761	597	186
762	598	185
763	598	184
764	599	184
765	600	183
766	600	182
767	601	181
768	601	180
769	602	179
770	602	179
771	603	178
772	603	177
773	604	176
774	605	175
775	606	174
776	606	174
777	607	173
778	607	172
779	608	171
780	608	170
781	609	169
782	610	169
783	610	168
784	611	167
785	611	166
786	612	165
787	613	164
788	613	164
789	614	163
790	614	162
791	615	161
792	615	160
793	616	160
794	617	159
795	617	158
796	618	157
797	618	156
798	619	155
799	620	155
800	620	154
801	621	153
802	621	152
803	622	151
804	623	150
805	623	150
806	624	149
807	625	148
808	625	147
809	626	146
810	626	146
811	627	145
812	628	144
813	629	143
814	629	142
815	630	142
816	631	141
817	631	140
818	632	139
819	633	139
820	633	138
821	634	137
822	635	136
823	635	135
824	636	135
825	637	134
826	637	133
827	638	132
828	639	131
829	639	131
830	640	130
831	640	129
832	641	128
833	642	127
834	642	127
835	643	126
836	644	125
837	644	124
838	645	123
839	645	123
840	646	122
841	646	121
842	647	120
843	648	119
844	649	119
845	649	118
846	650	117
847	650	116
848	651	115
849	651	115
850	652	114
851	653	113
852	653	112
853	654	111
854	654	111
855	655	110
856	655	109
857	656	108
858	656	107
859	657	107
860	658	106
861	658	105
862	659	104
863	660	103
864	660	103
865	661	102
866	661	101
867	662	100
868	662	99
869	663	99
870	663	98
871	664	97
872	665	96
873	665	95
874	666	95
875	667	94
876	667	93
877	668	92
878	668	92
879	669	91
880	669	90
881	670	89
882	671	88
883	671	88
884	672	87
885	672	86
886	673	85
887	673	84
888	674	84
889	675	83
890	675	82
891	676	81
892	676	81
893	677	80
894	677	79
895	678	78
896	679	77
897	679	77
898	680	76
899	680	75
900	681	74
901	682	74
902	682	73
903	683	72
904	684	71
905	684	71
906	685	70
907	685	69
908	686	68
909	686	67
910	687	67
911	688	66
912	688	65
913	689	64
914	689	64
915	690	63
916	690	62
917	691	61
918	692	61
919	692	60
920	693	59
921	693	58
922	694	57
923	695	57
924	695	56
925	696	55
926	696	54
927	697	54
928	698	53
929	698	52
930	699	51
931	699	51
932	700	50
933	700	49
934	701	48
935	701	47
936	702	47
937	703	46
938	703	45
939	704	44
940	704	44
941	705	43
942	705	42
943	706	41
944	707	41
945	707	40
946	708	39
947	708	38
948	709	38
949	710	37
950	710	36
951	711	35
952	711	35
953	712	34
954	712	33
955	713	32
956	713	32
957	714	31
958	715	30
959	715	29
960	716	29
961	716	28
962	717	27
963	717	26
964	718	26
965	719	25
966	719	24
967	720	23
968	720	23
969	721	22
970	721	21
971	722	20
972	723	20
973	723	19
974	724	18
975	724	17
976	725	17
977	726	16
978	726	15
979	727	14
980	727	14
981	728	13
982	728	12
983	729	11
984	730	11
985	730	10
986	731	9
987	731	8
988	732	8
989	732	7
990	733	6
991	734	5
992	734	5
993	735	4
994	736	3
995	736	2
996	737	2
997	737	1
998	738	0
999	739	0
